ID,cov.rDNA,cov.5S
C508.TCGA-21-5782-01A-01D-1632-08.1.rDNA.pileup.gz,44.8499,0.015093
C508.TCGA-22-5471-01A-01D-1632-08.1.rDNA.pileup.gz,39.6219,0.0117674
C508.TCGA-22-5474-01A-01D-1632-08.1.rDNA.pileup.gz,72.8293,0.026814
C508.TCGA-22-5480-01A-01D-1632-08.1.rDNA.pileup.gz,38.7325,0.0124186
C508.TCGA-22-5492-01A-01D-1632-08.1.rDNA.pileup.gz,45.9117,0.0129767
C508.TCGA-33-6738-01A-11D-1945-08.5.rDNA.pileup.gz,52.8217,0.0129535
C508.TCGA-33-A5GW-01A-11D-A27K-08.3.rDNA.pileup.gz,27.5246,0.0390233
C508.TCGA-33-AASJ-01A-11D-A401-08.1.rDNA.pileup.gz,62.4091,0.0287442
C508.TCGA-33-AASL-01A-11D-A401-08.1.rDNA.pileup.gz,74.3853,0.00909302
C508.TCGA-34-2600-01A-01D-1522-08.5.rDNA.pileup.gz,129.061,0.0244186
C508.TCGA-34-2608-01A-02D-1522-08.5.rDNA.pileup.gz,91.4404,0.0154186
C508.TCGA-34-5236-01A-21D-1817-08.2.rDNA.pileup.gz,50.8875,0.0239535
C508.TCGA-34-5239-01A-21D-1817-08.2.rDNA.pileup.gz,40.1375,0.0114419
C508.TCGA-34-5928-01A-11D-1817-08.2.rDNA.pileup.gz,40.0327,0.028907
C508.TCGA-34-8454-01A-11D-2323-08.2.rDNA.pileup.gz,40.2778,0.00995349
C508.TCGA-34-A5IX-01A-12D-A27K-08.3.rDNA.pileup.gz,52.8956,0.023093
C508.TCGA-39-5019-01A-01D-1817-08.2.rDNA.pileup.gz,37.0578,0.0256744
C508.TCGA-43-2578-01A-01D-1522-08.5.rDNA.pileup.gz,218.151,0.0224651
C508.TCGA-43-6771-01A-11D-1817-08.2.rDNA.pileup.gz,71.5206,0.0164186
C508.TCGA-43-A474-01A-11D-A24D-08.1.rDNA.pileup.gz,32.8844,0.0199535
C508.TCGA-51-4079-01A-01D-1458-08.6.rDNA.pileup.gz,250.782,0.728419
C508.TCGA-56-8304-01A-11D-2323-08.5.rDNA.pileup.gz,52.6711,0.0119535
C508.TCGA-56-8308-01A-11D-2293-08.2.rDNA.pileup.gz,61.4722,0.0174651
C508.TCGA-56-8623-01A-11D-2395-08.1.rDNA.pileup.gz,74.634,0.014186
C508.TCGA-56-8626-01A-11D-2395-08.2.rDNA.pileup.gz,57.6797,0.0117442
C508.TCGA-56-A5DR-01A-11D-A27K-08.3.rDNA.pileup.gz,55.3799,0.0234884
C508.TCGA-60-2713-01A-01D-1522-08.5.rDNA.pileup.gz,107.785,0.0177209
C508.TCGA-63-A5MB-01A-11D-A26M-08.3.rDNA.pileup.gz,59.0569,0.127302
C508.TCGA-66-2780-01A-01D-1522-08.5.rDNA.pileup.gz,91.3889,0.0104651
C508.TCGA-77-8145-01A-11D-2244-08.1.rDNA.pileup.gz,146.181,0.292977
C508.TCGA-77-8153-01A-11D-2395-08.1.rDNA.pileup.gz,54.414,0.0175814
C508.TCGA-85-8070-01A-11D-2244-08.1.rDNA.pileup.gz,33.6765,0.0249535
C508.TCGA-85-8582-01A-21D-2395-08.1.rDNA.pileup.gz,83.0439,0.0222558
C508.TCGA-85-A4CN-01A-11D-A24D-08.1.rDNA.pileup.gz,48.2988,0.0120233
C508.TCGA-94-A4VJ-01A-11D-A257-08.1.rDNA.pileup.gz,50.3172,0.0319767
C508.TCGA-98-8023-01A-11D-2244-08.1.rDNA.pileup.gz,100.132,0.0142326
C508.TCGA-LA-A7SW-01A-11D-A401-08.1.rDNA.pileup.gz,70.4498,0.0245814
C508.TCGA-LUSC-2703-TP-11D-2042-08.5.rDNA.pileup.gz,45.2245,0.0179767
C508.TCGA-LUSC-4609-TP-21D-2122-08.3.rDNA.pileup.gz,53.2693,0.0277209
C508.TCGA-LUSC-6867-TP-11D-2042-08.10.rDNA.pileup.gz,25.7634,0.0147209
C508.TCGA-LUSC-7696-TP-11D-2122-08.4.rDNA.pileup.gz,28.5847,0.0170465
C508.TCGA-LUSC-7710-TP-11D-2122-08.3.rDNA.pileup.gz,41.2379,0.010093
C508.TCGA-LUSC-7809-TP-21D-2122-08.3.rDNA.pileup.gz,72.3387,0.0166047
C508.TCGA-LUSC-7964-TP-21D-2184-08.2.rDNA.pileup.gz,64.9565,0.049814
C508.TCGA-NC-A5HE-01A-11D-A26M-08.3.rDNA.pileup.gz,35.2142,0.0338837
C508.TCGA-NC-A5HN-01A-11D-A26M-08.3.rDNA.pileup.gz,25.47,0.0199302
C508.TCGA-NK-A5D1-01A-11D-A26M-08.5.rDNA.pileup.gz,16.7796,0.0256744
C509.TCGA-05-5423-01A-01D-1625-08.1.rDNA.pileup.gz,35.9391,0.0279302
C509.TCGA-44-5643-01A-01D-1625-08.1.rDNA.pileup.gz,65.2679,0.00616279
C509.TCGA-44-6778-01A-11D-1855-08.2.rDNA.pileup.gz,57.9373,0.0239767
C509.TCGA-44-7667-01A-31D-2063-08.1.rDNA.pileup.gz,55.0439,0.0176744
C509.TCGA-44-7669-01A-21D-2063-08.3.rDNA.pileup.gz,53.6317,0.00451163
C509.TCGA-44-A4SS-01A-11D-A24P-08.3.rDNA.pileup.gz,49.5703,0.0356744
C509.TCGA-49-4487-01A-21D-1855-08.2.rDNA.pileup.gz,55.866,0.010093
C509.TCGA-53-7624-01A-11D-2063-08.1.rDNA.pileup.gz,34.0179,0.0195349
C509.TCGA-55-6968-01A-11D-1945-08.3.rDNA.pileup.gz,34.2388,0.0282558
C509.TCGA-55-6978-01A-11D-1945-08.3.rDNA.pileup.gz,48.177,0.0144651
C509.TCGA-55-7994-01A-11D-2184-08.1.rDNA.pileup.gz,43.1591,0.0152093
C509.TCGA-55-8085-01A-11D-2238-08.1.rDNA.pileup.gz,78.4897,0.0379767
C509.TCGA-55-8090-01A-11D-2238-08.1.rDNA.pileup.gz,86.7823,0.044186
C509.TCGA-55-8299-01A-11D-2284-08.5.rDNA.pileup.gz,83.849,0.0362326
C509.TCGA-62-8395-01A-11D-2323-08.6.rDNA.pileup.gz,73.6434,0.009
C509.TCGA-69-7973-01A-11D-2184-08.1.rDNA.pileup.gz,90.9892,0.0177674
C509.TCGA-78-7155-01A-11D-2036-08.1.rDNA.pileup.gz,12.6026,0.010907
C509.TCGA-80-5608-01A-31D-1945-08.5.rDNA.pileup.gz,212.88,0.21814
C509.TCGA-86-7711-01A-11D-2063-08.1.rDNA.pileup.gz,44.7885,0.035
C509.TCGA-86-8672-01A-21D-2393-08.2.rDNA.pileup.gz,46.9848,0.0197907
C509.TCGA-86-A456-01A-11D-A24D-08.2.rDNA.pileup.gz,38.0869,0.00539535
C509.TCGA-91-A4BD-01A-11D-A24D-08.1.rDNA.pileup.gz,62.8481,0.0339302
C509.TCGA-95-7039-01A-11D-1945-08.3.rDNA.pileup.gz,8.84364,0.0130698
C509.TCGA-95-7947-01A-11D-2184-08.1.rDNA.pileup.gz,52.8293,0.0171163
C509.TCGA-95-A4VP-01A-21D-A25L-08.4.rDNA.pileup.gz,58.9122,0.0169767
C509.TCGA-97-A4M6-01A-11D-A24P-08.3.rDNA.pileup.gz,51.7361,0.0172326
C509.TCGA-MP-A4TJ-01A-51D-A25L-08.2.rDNA.pileup.gz,46.7728,0.00990698
C529.TCGA-2A-AAYF-01A-11D-A41K-08.1.rDNA.pileup.gz,114.145,0.0157209
C529.TCGA-CH-5750-01A-11D-1576-08.4.rDNA.pileup.gz,129.388,0.0637209
C529.TCGA-CH-5792-01A-11D-1576-08.8.rDNA.pileup.gz,157.638,0.14286
C529.TCGA-EJ-5508-01A-02D-1576-08.4.rDNA.pileup.gz,146.973,0.0127209
C529.TCGA-EJ-5517-01A-01D-1576-08.4.rDNA.pileup.gz,132.526,0.0144186
C529.TCGA-EJ-5518-01A-01D-1576-08.8.rDNA.pileup.gz,112.432,0.00865116
C529.TCGA-EJ-5530-01A-01D-1576-08.9.rDNA.pileup.gz,89.0565,0.016907
C529.TCGA-EJ-7312-01B-21D-A32B-08.4.rDNA.pileup.gz,525.325,0.39886
C529.TCGA-EJ-7315-01A-31D-2114-08.1.rDNA.pileup.gz,115.214,0.0876279
C529.TCGA-EJ-7331-01A-11D-2114-08.1.rDNA.pileup.gz,99.2267,0.0223023
C529.TCGA-EJ-7788-01A-11D-2114-08.1.rDNA.pileup.gz,70.496,0.0554884
C529.TCGA-EJ-8470-01A-11D-2395-08.2.rDNA.pileup.gz,79.129,0.044814
C529.TCGA-G9-6347-01A-11D-A31L-08.3.rDNA.pileup.gz,52.3145,0.025186
C529.TCGA-G9-6361-01A-21D-1961-08.2.rDNA.pileup.gz,47.052,0.0285349
C529.TCGA-HC-7080-01A-11D-1961-08.2.rDNA.pileup.gz,61.3109,0.00725581
C529.TCGA-HC-7211-01A-11D-2114-08.2.rDNA.pileup.gz,78.3943,0.0747907
C529.TCGA-HC-7740-01A-11D-2114-08.1.rDNA.pileup.gz,69.461,0.0282558
C529.TCGA-HC-7744-01A-11D-2114-08.1.rDNA.pileup.gz,191.805,0.173209
C529.TCGA-HC-7748-01A-11D-2114-08.2.rDNA.pileup.gz,60.9704,0.0288837
C529.TCGA-HC-A632-01A-11D-A29Q-08.2.rDNA.pileup.gz,90.1246,0.031
C529.TCGA-HC-A6AQ-01A-11D-A30E-08.1.rDNA.pileup.gz,59.2379,0.118791
C529.TCGA-HC-A76X-01A-11D-A33T-08.1.rDNA.pileup.gz,44.9942,0.013814
C529.TCGA-J4-A83I-01A-11D-A364-08.1.rDNA.pileup.gz,58.0703,0.0193488
C529.TCGA-J4-A83N-01A-11D-A34U-08.1.rDNA.pileup.gz,34.1756,0.0189535
C529.TCGA-J9-A52C-01A-11D-A26M-08.4.rDNA.pileup.gz,28.7881,0.0235814
C529.TCGA-J9-A52E-01A-11D-A26M-08.4.rDNA.pileup.gz,25.6738,0.030093
C529.TCGA-KK-A59X-01A-11D-A29Q-08.2.rDNA.pileup.gz,66.2796,0.0124186
C529.TCGA-KK-A59Y-01A-11D-A26M-08.3.rDNA.pileup.gz,22.0645,0.0186279
C529.TCGA-KK-A6E0-01A-11D-A30X-08.1.rDNA.pileup.gz,25.9144,0.00811628
C529.TCGA-KK-A7AQ-01A-11D-A33T-08.1.rDNA.pileup.gz,73.9265,0.00646512
C529.TCGA-KK-A7B2-01A-12D-A32B-08.2.rDNA.pileup.gz,77.4279,0.0113953
C529.TCGA-KK-A8I4-01A-11D-A364-08.1.rDNA.pileup.gz,83.6474,0.0156977
C529.TCGA-KK-A8I6-01A-11D-A364-08.1.rDNA.pileup.gz,48.7446,0.0235116
C529.TCGA-KK-A8IH-01A-11D-A364-08.1.rDNA.pileup.gz,56.8978,0.0144651
C529.TCGA-KK-A8II-01A-11D-A364-08.1.rDNA.pileup.gz,40.5663,0.0157907
C529.TCGA-QU-A6IL-01A-11D-A31L-08.3.rDNA.pileup.gz,52.4306,0.0164419
C529.TCGA-V1-A8MM-01A-11D-A377-08.1.rDNA.pileup.gz,78.0869,0.00313953
C529.TCGA-V1-A8WS-01A-11D-A377-08.3.rDNA.pileup.gz,47.6201,0.0145581
C529.TCGA-V1-A8WW-01A-11D-A377-08.1.rDNA.pileup.gz,48.4216,0.0165581
C529.TCGA-V1-A9ZK-01A-11D-A41K-08.1.rDNA.pileup.gz,84.0287,0.0212093
C529.TCGA-VN-A88R-01A-11D-A364-08.1.rDNA.pileup.gz,48.9364,0.00974419
C529.TCGA-VP-A876-01A-11D-A34U-08.2.rDNA.pileup.gz,43.7957,0.0211395
C529.TCGA-VP-A879-01A-11D-A34U-08.1.rDNA.pileup.gz,101.726,0.0272326
C529.TCGA-XK-AAJA-01A-11D-A41K-08.1.rDNA.pileup.gz,57.6134,0.0326512
C529.TCGA-XK-AAJU-01A-11D-A41K-08.2.rDNA.pileup.gz,122.449,0.029814
C529.TCGA-YL-A8S9-01A-11D-A377-08.1.rDNA.pileup.gz,68.8687,0.0250698
C529.TCGA-YL-A8SB-01A-31D-A377-08.1.rDNA.pileup.gz,84.8427,0.0215814
C529.TCGA-YL-A9WI-01A-11D-A377-08.1.rDNA.pileup.gz,30.8956,0.00588372
c61f5b76-f540-45c1-9d26-535c43bc821e_gdc_realn_rehead.rDNA.pileup.gz,12.1806,0.134465
c662eb1e-d0f9-4e36-b07a-1464ba06ff99_gdc_realn_rehead.rDNA.pileup.gz,317.591,0.194093
C662.TCGA-44-6146-01A-21D-A27T-08.2.rDNA.pileup.gz,96.9418,0.0948837
C662.TCGA-44-6147-01A-21D-A27T-08.2.rDNA.pileup.gz,114.294,0.121
C662.TCGA-44-6148-01A-11D-1753-08.4.rDNA.pileup.gz,34.103,0.0111395
C662.TCGA-50-5931-01A-11D-1753-08.4.rDNA.pileup.gz,19.7128,0.00588372
C662.TCGA-50-5946-01A-11D-1753-08.4.rDNA.pileup.gz,41.0892,0.00288372
C662.TCGA-50-6592-01A-11D-1753-08.4.rDNA.pileup.gz,58.2388,0.00269767
C662.TCGA-55-6543-01A-11D-1753-08.4.rDNA.pileup.gz,64.7124,0.0188605
C662.TCGA-75-5126-01A-01D-1753-08.4.rDNA.pileup.gz,38.6873,0.00569767
c79fd4ee-51a2-4566-b6fd-7c883e5f09d6_gdc_realn_rehead.rDNA.pileup.gz,15.8069,0.18786
C828.TCGA-BF-A1Q0-01A-21D-A19A-08.2.rDNA.pileup.gz,19.5309,0.012907
C828.TCGA-BF-A3DM-01A-11D-A20D-08.1.rDNA.pileup.gz,112.448,0.0331395
C828.TCGA-BF-A9VF-01A-11D-A372-08.2.rDNA.pileup.gz,45.8311,0.0585814
C828.TCGA-BF-AAP8-01A-11D-A401-08.1.rDNA.pileup.gz,95.72,0.029
C828.TCGA-D3-A5GT-01A-12D-A30X-08.1.rDNA.pileup.gz,33.0757,0.00737209
C828.TCGA-D9-A3Z4-01A-11D-A23B-08.1.rDNA.pileup.gz,45.8235,0.0197674
C828.TCGA-EB-A24C-01A-11D-A197-08.2.rDNA.pileup.gz,27.9825,0.0116279
C828.TCGA-EB-A3XE-01A-12D-A23B-08.1.rDNA.pileup.gz,69.1326,0.017186
C828.TCGA-EB-A3XF-01A-31D-A23B-08.1.rDNA.pileup.gz,64.7836,0.0504651
C828.TCGA-EB-A42Y-01A-12D-A24R-08.3.rDNA.pileup.gz,52.8105,0.0209302
C828.TCGA-EB-A430-01A-11D-A24R-08.3.rDNA.pileup.gz,52.9279,0.0275581
C828.TCGA-EB-A431-01A-11D-A25O-08.2.rDNA.pileup.gz,50.3562,0.00927907
C828.TCGA-EB-A44N-01A-11D-A25O-08.3.rDNA.pileup.gz,28.5027,0.00834884
C828.TCGA-EB-A44O-01A-11D-A25O-08.2.rDNA.pileup.gz,33.3759,0.00525581
C828.TCGA-EB-A44O-01A-11D-A25O-08.3.rDNA.pileup.gz,35.2737,0.00648837
C828.TCGA-EB-A4IS-01A-21D-A25O-08.3.rDNA.pileup.gz,30.8956,0.0227674
C828.TCGA-EB-A4OY-01A-11D-A25O-08.2.rDNA.pileup.gz,37.9073,0.0127907
C828.TCGA-EB-A4OY-01A-11D-A25O-08.3.rDNA.pileup.gz,39.496,0.0129302
C828.TCGA-EB-A551-01A-21D-A27K-08.3.rDNA.pileup.gz,34.224,0.0342326
C828.TCGA-EB-A6QY-01A-12D-A32N-08.3.rDNA.pileup.gz,395.164,0.841884
C828.TCGA-EB-A82C-01A-11D-A34U-08.1.rDNA.pileup.gz,91.0394,0.0277907
C828.TCGA-EB-A85J-01A-12D-A34U-08.1.rDNA.pileup.gz,48.7164,0.0389767
C828.TCGA-ER-A194-01A-11D-A197-08.1.rDNA.pileup.gz,26.1716,0.0125116
C828.TCGA-ER-A19T-01A-11D-A19A-08.3.rDNA.pileup.gz,54.6375,0.0138372
C828.TCGA-ER-A2NB-01A-12D-A196-08.1.rDNA.pileup.gz,27.5959,0.0255116
C828.TCGA-FR-A3R1-01A-11D-A23B-08.2.rDNA.pileup.gz,130.102,0.0606977
C828.TCGA-FR-A728-01A-11D-A32N-08.3.rDNA.pileup.gz,284.493,0.84293
C828.TCGA-GF-A769-01A-32D-A32N-08.3.rDNA.pileup.gz,405.915,1.1574
C828.TCGA-GN-A269-01A-11D-A19A-08.1.rDNA.pileup.gz,51.2751,0.0152326
C828.TCGA-GN-A269-01A-11D-A19A-08.2.rDNA.pileup.gz,45.7697,0.0144419
C828.TCGA-GN-A4U5-01A-11D-A32N-08.3.rDNA.pileup.gz,398.194,0.845419
C828.TCGA-WE-A8K4-01A-12D-A372-08.1.rDNA.pileup.gz,45.2065,0.0261163
C828.TCGA-XV-AAZW-01A-12D-A401-08.1.rDNA.pileup.gz,68.4713,0.03
c89b1802-f617-46a0-8e28-af4e42e060f9_gdc_realn_rehead.rDNA.pileup.gz,20.4951,0.247767
c92b3b05-9cdf-4dba-8f8e-e12e82b8e9ec_gdc_realn_rehead.rDNA.pileup.gz,107.647,0.359721
c9c65605-30a5-4fad-8193-b35621936764_gdc_realn_rehead.rDNA.pileup.gz,81.4713,0.174744
cb41fa4c-8c27-49b2-8070-593c6edccfc6_gdc_realn_rehead.rDNA.pileup.gz,14.151,0.159442
cc68e6a2-0865-4656-80fb-2594a64ffba9_gdc_realn_rehead.rDNA.pileup.gz,11.4718,0.123442
cd0e8e79-5897-426d-803e-a6c3f1bbdfda_gdc_realn_rehead.rDNA.pileup.gz,25.2173,0.281698
cdceb01f-0ea0-46a3-a1da-9bd84479235c_gdc_realn_rehead.rDNA.pileup.gz,12.5766,0.141744
d1731e80-53bc-4225-9097-8d7e32aa173a_gdc_realn_rehead.rDNA.pileup.gz,15.2549,0.144744
d1986fd8-b966-4ace-ab1a-581a18ecbdbe_gdc_realn_rehead.rDNA.pileup.gz,336.783,0.132465
d1ada222-b67f-47c0-b380-091eaab093b4_gdc_realn_rehead.rDNA.pileup.gz,12.7536,0.145698
d4f41f6d-7353-462d-ab1e-61adac431d8b_gdc_realn_rehead.rDNA.pileup.gz,15.5573,0.184116
dbaa4e7f-79fc-43ed-8258-f1f50110495d_gdc_realn_rehead.rDNA.pileup.gz,43.0121,0.198233
dcc908fd-afb3-48a7-9f48-d98355d50030_gdc_realn_rehead.rDNA.pileup.gz,13.0412,0.109884
ddd400df-3376-447a-859b-7415a679eb46_gdc_realn_rehead.rDNA.pileup.gz,7.86873,0.0752791
de24d8b4-3113-480a-84bd-86d8f39560cf_gdc_realn_rehead.rDNA.pileup.gz,211.313,0.179395
e0990992-6012-41ef-9db2-e0090973f822_gdc_realn_rehead.rDNA.pileup.gz,8.67518,0.0900465
e345e4fc-a026-4f70-8e35-ec0a60dc6218_gdc_realn_rehead.rDNA.pileup.gz,10.6546,0.137814
e702f15d-8cd6-47ff-8b15-17acb7409821_gdc_realn_rehead.rDNA.pileup.gz,160.309,0.193814
e9ba1277-0d5b-413a-b30b-ed5df883f036_gdc_realn_rehead.rDNA.pileup.gz,9.19489,0.118698
ebf6d5b9-6359-46d9-9e73-066a15b5f903_gdc_realn_rehead.rDNA.pileup.gz,38.6407,0.202651
ed5e8d92-a12a-4da5-8433-6016e8ce1f5f_gdc_realn_rehead.rDNA.pileup.gz,53.5865,0.184488
ee435154-da66-4069-a685-56b7f3763d70_gdc_realn_rehead.rDNA.pileup.gz,24.3772,0.318698
f0230c35-06f0-4ef2-ad92-cdead9cd3612_gdc_realn_rehead.rDNA.pileup.gz,51.1626,0.113442
f4f6d8c0-a78d-4ee1-93e1-48a8c9d23cb4_gdc_realn_rehead.rDNA.pileup.gz,21.4032,0.234186
f7139559-98fb-40a9-b53a-fbd6eff91646_gdc_realn_rehead.rDNA.pileup.gz,8.93862,0.118651
f7e760b7-9e86-4d22-b257-c0d4d6f0e439_gdc_realn_rehead.rDNA.pileup.gz,88.0605,0.171023
fa14f063-b1b6-4e56-9b5c-c9c1248f5d1f_gdc_realn_rehead.rDNA.pileup.gz,19.1546,0.230442
fa48365f-fe1b-44e6-94fc-c52b8a1ed7a0_gdc_realn_rehead.rDNA.pileup.gz,16.6971,0.153721
fa7246ef-c9ef-4494-9a5c-31b6eb90e802_gdc_realn_rehead.rDNA.pileup.gz,12.2177,0.127721
fb76cae1-8b63-4459-9c06-597dfd080a66_gdc_realn_rehead.rDNA.pileup.gz,20.6317,0.216605
fd89981a-e0ad-425b-a456-60edba4bd7a5_gdc_realn_rehead.rDNA.pileup.gz,12.0936,0.129628
feb08cb8-99b7-4527-baa7-2f37b9559d06_gdc_realn_rehead.rDNA.pileup.gz,11.6756,0.127791
ff888786-bde7-40a5-aa86-3bd2ed0f717b_gdc_realn_rehead.rDNA.pileup.gz,8.44803,0.114535
TCGA-A8-A095-01A-11W-A019-09_IlluminaGA-DNASeq_exome.rDNA.pileup.gz,568.516,0.145884
TCGA-AN-A0AT-01A-11D-A045-09_IlluminaGA-DNASeq_exome.rDNA.pileup.gz,257.387,0.179651
TCGA-AR-A1AK-01A-21D-A12Q-09_IlluminaGA-DNASeq_exome.rDNA.pileup.gz,291.584,0.168977
TCGA-B6-A0I8-01A-11W-A050-09_IlluminaGA-DNASeq_exome_1.rDNA.pileup.gz,75.319,0.15507
TCGA-BH-A0DV-01A-21D-A12Q-09_IlluminaGA-DNASeq_exome.rDNA.pileup.gz,165.317,0.161233
TCGA-C8-A1HM-01A-12D-A135-09_IlluminaGA-DNASeq_exome_1.rDNA.pileup.gz,227.985,0.215116
TCGA-E2-A15J-01A-11D-A12Q-09_IlluminaGA-DNASeq_exome.rDNA.pileup.gz,234.865,0.0657907
TCGA-E2-A15R-01A-11D-A10Y-09_IlluminaGA-DNASeq_exome.rDNA.pileup.gz,238.549,0.117651
TCGA-E2-A1B4-01A-11D-A12Q-09_IlluminaGA-DNASeq_exome.rDNA.pileup.gz,278.951,0.0877442
