ID,cov.MT.RNASeq
022dd75d-0977-40b5-8804-bf0a281c149b_gdc_realn_rehead,446.94429356
06ab660e-2766-4c97-8f2e-b8495ddc0880_gdc_realn_rehead,358.926911703
0ade1371-b218-4f01-a39e-b503d30d24e0_gdc_realn_rehead,209.912909651
0afa74a0-7a7c-4b48-a253-45070049ceea_gdc_realn_rehead,150.618806204
0e0dd65a-4a41-4f6c-9ff9-d3cea84de4d7_gdc_realn_rehead,136.492546321
0f3494df-6f55-4e6e-8e67-b7bfdecc8dec_gdc_realn_rehead,310.119077796
13bddb12-c433-41d4-9953-eda7edaf5efe_gdc_realn_rehead,314.791357354
1b43fc14-febe-4994-b814-fd9ad938bd0f_gdc_realn_rehead,81.0156316012
1bc73950-9b27-4e14-a152-2cca34397565_gdc_realn_rehead,100.142374313
1c356cd8-5f5b-4357-90ea-d2d23109e284_gdc_realn_rehead,635.904701551
1cafa993-5138-448f-8a4e-d51d6c38cb28_gdc_realn_rehead,300.103325487
1d62f45d-8b34-4bd2-8df5-67f3099282dd_gdc_realn_rehead,209.685678074
200313ec-9822-4203-a4f4-c91f602ac99c_gdc_realn_rehead,278.681453316
201beb6e-8c73-432e-aafd-893e44ad6163_gdc_realn_rehead,216.529241354
232004bd-7fe6-427a-b4c4-cf5e6b4f1759_gdc_realn_rehead,272.34051542
23221ebb-100c-4e28-bf4e-0f164a8ed50a_gdc_realn_rehead,70.4547649224
2360a9b2-fe19-42a6-b802-dcc88adcc1a5_gdc_realn_rehead,209.467801316
26cdbfd9-801b-42fd-84e7-a8c177f0bd8b_gdc_realn_rehead,369.074174664
291c515a-0c08-4f00-ad1a-13b6ec6fb982_gdc_realn_rehead,126.191803971
2968a0ca-b550-40e7-8da5-cf771936f77a_gdc_realn_rehead,197.691290965
2a8cf710-6197-4a1c-b7b3-97bbb975c715_gdc_realn_rehead,109.041281912
2b9f6e1a-1b6c-4c33-8c21-7fe7ac515294_gdc_realn_rehead,171.285533225
2c677a6e-2c90-4b16-aca8-6c277f0fece6_gdc_realn_rehead,210.408473656
2f107360-f95d-4edb-821e-f5db5f97453a_gdc_realn_rehead,275.776570704
2f9b92f8-8c19-41e3-896c-42f383616055_gdc_realn_rehead,242.253787193
337afcb4-52a9-4819-8b35-eb46d34f775e_gdc_realn_rehead,237.684712415
37148380-3155-46a5-bc73-d79cf0549e87_gdc_realn_rehead,204.259460438
39b27f76-9e10-4284-b5dc-7b5a554dfe26_gdc_realn_rehead,191.892510109
3b50841d-fd1b-4f40-85db-db97403b3411_gdc_realn_rehead,70.2221015149
3bda51f4-6075-4f3c-a8ca-92b72d0d8e73_gdc_realn_rehead,141.238879836
3cf10dbd-0f15-4a50-8980-8959deb38538_gdc_realn_rehead,271.793107611
3ea7a215-73c4-4e11-94f3-2aa03325349e_gdc_realn_rehead,207.892329048
418985cf-3f58-4673-9303-961204e7c470_gdc_realn_rehead,165.228619712
441fc7e7-d77a-4cfb-bb94-08c5cbf43e10_gdc_realn_rehead,285.007363148
444742fb-f08e-45a8-9f31-b265a34deff7_gdc_realn_rehead,148.224274247
46a22381-f8d1-40d3-9be4-8b48be4d0e86_gdc_realn_rehead,294.363389462
481e7b1a-4750-46e9-a326-7c515fe80bc6_gdc_realn_rehead,358.849840063
49e98347-78bc-46bb-ba9a-895ec6cee19a_gdc_realn_rehead,114.432132295
4bcb9553-89a1-43b8-87ed-c734bcaccb42_gdc_realn_rehead,306.627919609
4d94d6b6-0ea3-4f5e-9b41-ac1618e7629f_gdc_realn_rehead,119.398937775
4e3283f8-1bb1-452f-b065-2de234d759d7_gdc_realn_rehead,259.484036454
55427b1d-4160-45fd-a5d4-a72d724e87b4_gdc_realn_rehead,450.321866136
56089d6d-8b99-4325-8e68-e91d78b56322_gdc_realn_rehead,435.724364778
57b7eeb8-5a64-4780-aa48-49ae8f168ad6_gdc_realn_rehead,287.022692981
57dc603f-e1c0-4fc0-9ed9-76dd5b6f9bd4_gdc_realn_rehead,313.004345464
5a5439dd-fc39-4514-be27-7ca9c006a3da_gdc_realn_rehead,64.1191985032
5d9ee8ea-0c7c-4183-9fa3-5d7ef423fd7a_gdc_realn_rehead,298.853159515
60aede2a-3fb0-499d-9860-c4f63d1f540d_gdc_realn_rehead,236.99885328
65839088-5527-4008-9232-142ee8e0e627_gdc_realn_rehead,23.1585490977
66fceedb-f1e9-468c-af06-f2c19bbc44ee_gdc_realn_rehead,165.646146418
67295c38-9cc0-4492-b782-05f762173b63_gdc_realn_rehead,340.022994749
6b7d7402-42f0-4511-937f-9462ef549ef6_gdc_realn_rehead,126.1873378
6bc88daf-bcd3-4343-9aa5-bb69a90d6503_gdc_realn_rehead,157.498883457
6c5a23c8-70b3-4bb3-842d-42b048978f1e_gdc_realn_rehead,233.265133683
6ce7ac63-a45e-4f8a-9520-0d22536fcd05_gdc_realn_rehead,75.3854185527
6d42470b-3777-4edb-a2ec-0f2dc3089caa_gdc_realn_rehead,112.480415233
6dae1a17-70b1-4989-b591-ce1dec2ec802_gdc_realn_rehead,150.443358078
6e3dbbf4-ea7c-438f-a944-55adb7c291d5_gdc_realn_rehead,252.044480657
7009dd2b-81da-4e36-ac29-5c17b96bfd69_gdc_realn_rehead,136.188122397
703063d9-d8a1-4ec4-8bc2-ba80456c9daf_gdc_realn_rehead,260.536423441
710df87f-9999-432b-9a4a-cdf6d698c093_gdc_realn_rehead,354.657734323
76a0703a-0540-4ca8-baa8-128a52b0846d_gdc_realn_rehead,155.39555797
78ef733f-6117-482b-9a45-93bd0366d0ee_gdc_realn_rehead,169.984670167
79c6d8ea-54c0-4bc4-bf52-1477b6c9d46c_gdc_realn_rehead,228.315227232
7e643be8-5454-42aa-ab67-1c77c8c55809_gdc_realn_rehead,349.173094333
7f37d4d0-be8b-4f0f-a2eb-d7368e279f04_gdc_realn_rehead,178.647353491
7fc80880-9530-489c-84a8-5994ce745892_gdc_realn_rehead,611.119198503
804a851a-a496-4139-b304-4fcbb4e466f8_gdc_realn_rehead,148.707465749
861a0fcf-4794-4437-9f95-714be338f3c8_gdc_realn_rehead,241.636067355
88e6af82-c26e-4a65-9cd2-97c6b78d25ee_gdc_realn_rehead,60.9727804937
8a029484-0321-4f80-a941-37bbb91d41e6_gdc_realn_rehead,307.163558453
8ba08d5f-7688-4e6c-a244-62be20a4b644_gdc_realn_rehead,402.427847185
8ca1ceb0-da28-43de-b1df-afadf5360109_gdc_realn_rehead,231.879473716
90233afc-bc3f-450e-a96c-6f5b754d2749_gdc_realn_rehead,278.510048886
9223f026-93b0-42ca-9069-5cb40b1a34e8_gdc_realn_rehead,405.02909047
924207e4-46c5-40ed-b829-4a8fc925466d_gdc_realn_rehead,141.332186614
92a8a159-4328-4c84-9cf8-38e884b4b4fc_gdc_realn_rehead,235.090409801
9478d01a-af79-498e-aea6-406495acdb37_gdc_realn_rehead,210.561953045
94d02ca0-9544-4491-8cde-f73748465eeb_gdc_realn_rehead,263.638179733
9531ac98-fef6-4d7a-a444-ba83b7eb0f92_gdc_realn_rehead,109.332307321
9910c730-39be-4cf1-9007-1b3a9712a4f2_gdc_realn_rehead,140.938559961
9aaecc75-33ae-42e7-8cc9-806afd9f067a_gdc_realn_rehead,421.84996077
9ca830f3-ac0a-49a9-892d-878b1d593743_gdc_realn_rehead,221.646025711
9fd2752a-dc0e-4ac4-9149-39206980cba9_gdc_realn_rehead,344.918643249
a139f37f-a62c-4722-9dc7-a15df478d791_gdc_realn_rehead,213.087874947
a3736f9a-6f21-4b60-82c9-fef598683885_gdc_realn_rehead,138.77765707
a4c45d2b-9067-4218-8428-1b7be3977ee1_gdc_realn_rehead,612.11388738
a50cdac5-77de-4120-bf4e-fa45415e389d_gdc_realn_rehead,315.377210453
aa44b29e-8a79-43ae-b8c4-8b7ffa8e07cc_gdc_realn_rehead,117.579697025
abe71233-5615-42a4-b2fd-8988f22c3ac9_gdc_realn_rehead,606.2111775
ac92ae82-c416-4812-93e1-9f3def081381_gdc_realn_rehead,131.389582956
ad779f07-1d5e-4720-be52-4d031146349f_gdc_realn_rehead,130.913633895
b0363f34-ad46-42b2-be94-eec3be39160b_gdc_realn_rehead,241.788943207
b04cbefe-48d2-40ca-9230-18566adbe9ee_gdc_realn_rehead,327.572032108
b62181ac-22b7-452d-8055-313a8fd9b740_gdc_realn_rehead,441.376848331
bd151a41-d4db-4044-9e5d-6c7df9282353_gdc_realn_rehead,221.971150945
c292261b-d8e9-4245-936a-884d0c5f2544_gdc_realn_rehead,389.422958537
c4b527da-7ddc-4bea-a3f0-45379f159c59_gdc_realn_rehead,118.258736194
c4c56341-9436-4ebe-a008-f822256db2d6_gdc_realn_rehead,127.546985334
c662eb1e-d0f9-4e36-b07a-1464ba06ff99_gdc_realn_rehead,109.168205685
c79fd4ee-51a2-4566-b6fd-7c883e5f09d6_gdc_realn_rehead,291.181966323
c92b3b05-9cdf-4dba-8f8e-e12e82b8e9ec_gdc_realn_rehead,279.278049369
ca70f952-1943-4b89-94fc-3795b5cf29a7_gdc_realn_rehead,127.035186191
cb41fa4c-8c27-49b2-8070-593c6edccfc6_gdc_realn_rehead,246.484760698
cc68e6a2-0865-4656-80fb-2594a64ffba9_gdc_realn_rehead,82.1054378659
cd0e8e79-5897-426d-803e-a6c3f1bbdfda_gdc_realn_rehead,297.45011769
cdceb01f-0ea0-46a3-a1da-9bd84479235c_gdc_realn_rehead,410.658458567
d1731e80-53bc-4225-9097-8d7e32aa173a_gdc_realn_rehead,199.970185286
d1986fd8-b966-4ace-ab1a-581a18ecbdbe_gdc_realn_rehead,158.623453437
d1ada222-b67f-47c0-b380-091eaab093b4_gdc_realn_rehead,334.600639749
d4f41f6d-7353-462d-ab1e-61adac431d8b_gdc_realn_rehead,248.349689179
dbaa4e7f-79fc-43ed-8258-f1f50110495d_gdc_realn_rehead,440.470637938
dcc908fd-afb3-48a7-9f48-d98355d50030_gdc_realn_rehead,1420.18269057
ddd400df-3376-447a-859b-7415a679eb46_gdc_realn_rehead,50.2184802945
de24d8b4-3113-480a-84bd-86d8f39560cf_gdc_realn_rehead,166.344921238
e0990992-6012-41ef-9db2-e0090973f822_gdc_realn_rehead,145.917194761
e345e4fc-a026-4f70-8e35-ec0a60dc6218_gdc_realn_rehead,525.267608184
e9ba1277-0d5b-413a-b30b-ed5df883f036_gdc_realn_rehead,96.7264168025
ebf6d5b9-6359-46d9-9e73-066a15b5f903_gdc_realn_rehead,64.7041462973
ed5e8d92-a12a-4da5-8433-6016e8ce1f5f_gdc_realn_rehead,99.0618021607
f0230c35-06f0-4ef2-ad92-cdead9cd361
